time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-12-11 09:45:08.123 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,11, , , , , , , , , ,3,3, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,80741220352,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1702287908086,,, , , , , , , , , ,3145728,1377,2,2,1,2, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,16,43,126806576,-1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-11 09:46:08.124 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, ,126, , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80736194560,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197,1,8,0,8, , , ,27,27,2,27, ,3,28, , , , , , , , , , ,4096,2,9797,27, , , , , , ,8,17,111385760,-1, , , , , , ,127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51, , ,25,26,25, , , , , , , , , 
2023-12-11 09:47:08.136 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80736055296,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,113482912,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-11 09:48:08.152 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80735490048,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,115580064,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-11 09:49:08.165 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80735264768,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,117677216,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-11 09:50:08.169 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80734502912,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,119774368,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-11 09:51:08.183 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80731602944,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,121871520,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-11 09:52:08.187 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80746258432,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,121871520,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-11 09:53:08.197 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80745975808,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,132357280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-11 09:54:08.198 UTC, , , , , , , , , ,125,3173997,28032,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,11224,80745725952,67,67,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11224,1702287908086,,, , , , , , , , , ,3145728,11197, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,144940192,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
