time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-11-20 09:04:09.437 UTC, , , , , , , , , ,125,3161533,15544,136, ,3, ,12, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,11573055488,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1700471049413,,, , , , , , , , , ,3145728,1427,1,1,0,1, , , ,5,4,3,6, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,16,19,137147888,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-20 09:05:09.438 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, ,4233, , , , , , , , , ,14,14, , , ,1,2,15, ,4041, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11571789824,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025,1,2,0,8, , , ,110,111,2,110, ,3,112, , , , , , , , , , ,4096,2,130628,119, , , , , , ,4,7,80244496,-1, , , , , , ,4722, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,29, ,234, ,358,3503,294,7, , , , , , , , , 
2023-11-20 09:06:09.440 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11571445760,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,97021712,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-20 09:07:09.442 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11568414720,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,103313168,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-20 09:08:09.446 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11561406464,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,113798928,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-20 09:09:09.447 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, ,19, , , , , , , , , ,14,14, , , ,1,2,15, ,44, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11561730048,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,1,3,72057064,-1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27,17, , , , , , , , , , , 
2023-11-20 09:10:09.448 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11561463808,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025,8,8,8,8, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , ,93028584,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-20 09:11:09.451 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11562045440,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,95125736,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-20 09:12:09.461 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11561754624,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,97222888,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-20 09:13:09.472 UTC, , , , , , , , , ,589,3316237,168128,1792, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,132055,11606016000,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,132055,1700471049413,,, , , , , , , , , ,3145728,132025, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,97222888,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
